enormously, enormously, tremendously, tremendously, correct
provisions, provisions, stipulations, stipulations, correct
haphazardly, haphazardly, randomly, randomly, correct
prominent, prominent, conspicuous, conspicuous, correct
zenith, zenith, pinnacle, pinnacle, correct
flawed, flawed, imperfect, imperfect, correct
urgently, urgently, desperately, desperately, correct
consumed, consumed, eaten, eaten, correct
advent, advent, coming, coming, correct
concisely, concisely, succinctly, succinctly, correct
salutes, salutes, greetings, ceremonies, wrong
solitary, solitary, alone, restless, wrong
hasten, hasten, accelerate, accelerate, correct
perseverance, perseverance, endurance, generosity, wrong
fanciful, fanciful, imaginative, imaginative, correct
showed, showed, demonstrated, demonstrated, correct
constantly, constantly, continually, continually, correct
issues, issues, subjects, subjects, correct
furnish, furnish, supply, impress, wrong
costly, costly, expensive, expensive, correct
recognized, recognized, acknowledged, acknowledged, correct
spot, spot, location, location, correct
make, make, earn, earn, correct
often, often, frequently, frequently, correct
easygoing, easygoing, relaxed, relaxed, correct
debate, debate, argument, argument, correct
narrow, narrow, thin, thin, correct
arranged, arranged, planned, planned, correct
infinite, infinite, limitless, limitless, correct
showy, showy, striking, prickly, wrong
levied, levied, imposed, imposed, correct
deftly, deftly, skillfully, skillfully, correct
distribute, distribute, circulate, commercialize, wrong
discrepancies, discrepancies, differences, differences, correct
prolific, prolific, productive, productive, correct
unmatched, unmatched, unequaled, unequaled, correct
peculiarly, peculiarly, uniquely, uniquely, correct
hue, hue, color, color, correct
hind, hind, rear, rear, correct
highlight, highlight, accentuate, accentuate, correct
hastily, hastily, hurriedly, hurriedly, correct
temperate, temperate, mild, mild, correct
grin, grin, smile, smile, correct
verbally, verbally, orally, orally, correct
physician, physician, doctor, doctor, correct
essentially, essentially, basically, basically, correct
keen, keen, sharp, useful, wrong
situated, situated, positioned, positioned, correct
principal, principal, major, major, correct
slowly, slowly, gradually, gradually, correct
built, built, constructed, constructed, correct
tasks, tasks, jobs, jobs, correct
unlikely, unlikely, improbable, improbable, correct
halfheartedly, halfheartedly, apathetically, apathetically, correct
annals, annals, chronicles, chronicles, correct
wildly, wildly, furiously, furiously, correct
hailed, hailed, acclaimed, remembered, wrong
command, command, mastery, mastery, correct
concocted, concocted, devised, devised, correct
prospective, prospective, potential, potential, correct
generally, generally, broadly, broadly, correct
sustained, sustained, prolonged, prolonged, correct
perilous, perilous, dangerous, dangerous, correct
tranquillity, tranquillity, peacefulness, Guess, guess
dissipate, dissipate, disperse, disperse, correct
primarily, primarily, chiefly, chiefly, correct
colloquial, colloquial, conversational, conversational, correct
resolved, resolved, settled, settled, correct
feasible, feasible, possible, possible, correct
expeditiously, expeditiously, rapidly, rapidly, correct
percentage, percentage, proportion, proportion, correct
terminated, terminated, ended, postponed, wrong
uniform, uniform, alike, alike, correct
figure, figure, solve, solve, correct
sufficient, sufficient, enough, enough, correct
fashion, fashion, manner, manner, correct
marketed, marketed, sold, sold, correct
bigger, bigger, larger, larger, correct
roots, roots, origins, origins, correct
normally, normally, ordinarily, ordinarily, correct
