enormously, enormously, tremendously, tremendously, correct
provisions, provisions, stipulations, stipulations, correct
haphazardly, haphazardly, randomly, randomly, correct
prominent, prominent, conspicuous, ancient, wrong
zenith, zenith, pinnacle, pinnacle, correct
flawed, flawed, imperfect, imperfect, correct
urgently, urgently, desperately, desperately, correct
consumed, consumed, eaten, eaten, correct
advent, advent, coming, coming, correct
concisely, concisely, succinctly, succinctly, correct
salutes, salutes, greetings, greetings, correct
solitary, solitary, alone, restless, wrong
hasten, hasten, accelerate, accelerate, correct
perseverance, perseverance, endurance, generosity, wrong
fanciful, fanciful, imaginative, imaginative, correct
showed, showed, demonstrated, demonstrated, correct
constantly, constantly, continually, continually, correct
issues, issues, subjects, subjects, correct
furnish, furnish, supply, advise, wrong
costly, costly, expensive, expensive, correct
recognized, recognized, acknowledged, successful, wrong
spot, spot, location, location, correct
make, make, earn, earn, correct
often, often, frequently, frequently, correct
easygoing, easygoing, relaxed, relaxed, correct
debate, debate, argument, argument, correct
narrow, narrow, thin, clear, wrong
arranged, arranged, planned, planned, correct
infinite, infinite, limitless, limitless, correct
showy, showy, striking, prickly, wrong
levied, levied, imposed, imposed, correct
deftly, deftly, skillfully, skillfully, correct
distribute, distribute, circulate, circulate, correct
discrepancies, discrepancies, differences, differences, correct
prolific, prolific, productive, promising, wrong
unmatched, unmatched, unequaled, unequaled, correct
peculiarly, peculiarly, uniquely, uniquely, correct
hue, hue, color, color, correct
hind, hind, rear, hairy, wrong
highlight, highlight, accentuate, alter, wrong
hastily, hastily, hurriedly, hurriedly, correct
temperate, temperate, mild, mild, correct
grin, grin, smile, smile, correct
verbally, verbally, orally, Guess, guess
physician, physician, doctor, pharmacist, wrong
essentially, essentially, basically, basically, correct
keen, keen, sharp, useful, wrong
situated, situated, positioned, isolated, wrong
principal, principal, major, major, correct
slowly, slowly, gradually, gradually, correct
built, built, constructed, constructed, correct
tasks, tasks, jobs, jobs, correct
unlikely, unlikely, improbable, unpopular, wrong
halfheartedly, halfheartedly, apathetically, Guess, guess
annals, annals, chronicles, chronicles, correct
wildly, wildly, furiously, furiously, correct
hailed, hailed, acclaimed, addressed, wrong
command, command, mastery, observation, wrong
concocted, concocted, devised, devised, correct
prospective, prospective, potential, potential, correct
generally, generally, broadly, broadly, correct
sustained, sustained, prolonged, prolonged, correct
perilous, perilous, dangerous, dangerous, correct
tranquillity, tranquillity, peacefulness, peacefulness, correct
dissipate, dissipate, disperse, isolate, wrong
primarily, primarily, chiefly, chiefly, correct
colloquial, colloquial, conversational, conversational, correct
resolved, resolved, settled, settled, correct
feasible, feasible, possible, possible, correct
expeditiously, expeditiously, rapidly, repeatedly, wrong
percentage, percentage, proportion, proportion, correct
terminated, terminated, ended, postponed, wrong
uniform, uniform, alike, hard, wrong
figure, figure, solve, list, wrong
sufficient, sufficient, enough, enough, correct
fashion, fashion, manner, manner, correct
marketed, marketed, sold, sold, correct
bigger, bigger, larger, better, wrong
roots, roots, origins, origins, correct
normally, normally, ordinarily, ordinarily, correct
