enormously, enormously, tremendously, tremendously, correct
provisions, provisions, stipulations, Guess, guess
haphazardly, haphazardly, randomly, Guess, guess
prominent, prominent, conspicuous, mysterious, wrong
zenith, zenith, pinnacle, pinnacle, correct
flawed, flawed, imperfect, imperfect, correct
urgently, urgently, desperately, desperately, correct
consumed, consumed, eaten, eaten, correct
advent, advent, coming, coming, correct
concisely, concisely, succinctly, succinctly, correct
salutes, salutes, greetings, greetings, correct
solitary, solitary, alone, restless, wrong
hasten, hasten, accelerate, accelerate, correct
perseverance, perseverance, endurance, endurance, correct
fanciful, fanciful, imaginative, imaginative, correct
showed, showed, demonstrated, repeated, wrong
constantly, constantly, continually, instantly, wrong
issues, issues, subjects, benefits, wrong
furnish, furnish, supply, advise, wrong
costly, costly, expensive, expensive, correct
recognized, recognized, acknowledged, acknowledged, correct
spot, spot, location, location, correct
make, make, earn, trade, wrong
often, often, frequently, frequently, correct
easygoing, easygoing, relaxed, relaxed, correct
debate, debate, argument, election, wrong
narrow, narrow, thin, clear, wrong
arranged, arranged, planned, planned, correct
infinite, infinite, limitless, relative, wrong
showy, showy, striking, prickly, wrong
levied, levied, imposed, imposed, correct
deftly, deftly, skillfully, Guess, guess
distribute, distribute, circulate, commercialize, wrong
discrepancies, discrepancies, differences, differences, correct
prolific, prolific, productive, promising, wrong
unmatched, unmatched, unequaled, Guess, guess
peculiarly, peculiarly, uniquely, Guess, guess
hue, hue, color, color, correct
hind, hind, rear, hairy, wrong
highlight, highlight, accentuate, alter, wrong
hastily, hastily, hurriedly, Guess, guess
temperate, temperate, mild, mild, correct
grin, grin, smile, smile, correct
verbally, verbally, orally, Guess, guess
physician, physician, doctor, nurse, wrong
essentially, essentially, basically, basically, correct
keen, keen, sharp, sharp, correct
situated, situated, positioned, positioned, correct
principal, principal, major, major, correct
slowly, slowly, gradually, gradually, correct
built, built, constructed, constructed, correct
tasks, tasks, jobs, materials, wrong
unlikely, unlikely, improbable, different, wrong
halfheartedly, halfheartedly, apathetically, Guess, guess
annals, annals, chronicles, trails, wrong
wildly, wildly, furiously, furiously, correct
hailed, hailed, acclaimed, addressed, wrong
command, command, mastery, observation, wrong
concocted, concocted, devised, devised, correct
prospective, prospective, potential, prominent, wrong
generally, generally, broadly, Guess, guess
sustained, sustained, prolonged, prolonged, correct
perilous, perilous, dangerous, binding, wrong
tranquillity, tranquillity, peacefulness, weariness, wrong
dissipate, dissipate, disperse, disperse, correct
primarily, primarily, chiefly, consistently, wrong
colloquial, colloquial, conversational, conversational, correct
resolved, resolved, settled, settled, correct
feasible, feasible, possible, equitable, wrong
expeditiously, expeditiously, rapidly, rapidly, correct
percentage, percentage, proportion, profit, wrong
terminated, terminated, ended, postponed, wrong
uniform, uniform, alike, hard, wrong
figure, figure, solve, list, wrong
sufficient, sufficient, enough, valuable, wrong
fashion, fashion, manner, craze, wrong
marketed, marketed, sold, diluted, wrong
bigger, bigger, larger, Guess, guess
roots, roots, origins, origins, correct
normally, normally, ordinarily, Guess, guess
